Authorization Number,Site City Name,Establishment Name,Manager Name,Initial Effective Date,Site Address Line 1,Site Address Line 2,Site Province Abbrev,Site Postal Code,Telephone Number,Online Sales
779305,EDMONTON,Value Buds at Off Whyte,"Sanderson, Grant Leigh, Mgr
",10/17/2018,B-8015 104 ST NW,,AB,T6E 4E3,7804397540.0,No 
781884,EDMONTON,Value Buds at Rabbit Hill Road,"Sanderson, Grant Leigh, Mgr
",10/22/2020,5035 MULLEN RD NW,,AB,T6R 0S9,8255123840.0,No 
778145,EDMONTON,Value Buds at Riverbend Square,"Sanderson, Grant Leigh, Mgr
",11/15/2019,548 RIVERBEND SQ NW,,AB,T6R 2E3,7807522931.0,No 
782293,EDMONTON,Value Buds at Summerside,"Sanderson, Grant Leigh, Mgr
",4/21/2021,936 91 ST SW,,AB,T6X 0P2,5875247322.0,No 
778433,EDMONTON,Value Buds at the Meadows,"Sanderson, Grant Leigh, Mgr
",4/18/2019,1938 38 AVE NW,,AB,T6T 0B9,7804633564.0,No 
809633,EDMONTON,Value Buds at West Granville,"Sanderson, Grant Leigh, Mgr
",2/2/2026,7127 WINTERBURN RD NW,,AB,T5T 4K2,7807847433.0,No 
803168,EDMONTON,Viridis Cannabis,"Garneau, Nathaniel Lucien Francis, Mgr
",6/12/2025,17912 107 AVE NW,,AB,T5S 1J1,5874884515.0,No 
782592,EDMONTON,Wake N' Bake Cannabis,"Aggarwal, Amit, Mgr
",10/5/2021,6609 99 ST NW,,AB,T6E 3P7,7807619253.0,No 
782657,EDMONTON,Wake N' Bake Cannabis,"Aggarwal, Amit, Mgr
",9/1/2021,3725 118 AVE NW,,AB,T5W 0Z3,7807619253.0,No 
783743,EDMONTON,Wake N' Bake Cannabis,"Aggarwal, Amit, Mgr
",4/19/2022,16624 109 AVE NW,,AB,T5P 1C2,7807619253.0,No 
785662,EDMONTON,Wake N' Bake Cannabis,"Aggarwal, Amit, Mgr
",11/24/2023,101-16761 91 ST NW,,AB,T5Z 2X4,7807619253.0,No 
782396,EDMONTON,Wake N' Bake Cannabis,"Aggarwal, Amit, Mgr
",6/16/2021,6937 ELLERSLIE RD SW,,AB,T6X 2A1,7807619253.0,No 
783330,EDMONTON,Wake N' Bake Cannabis,"Aggarwal, Amit, Mgr
",12/16/2021,1091 KNOTTWOOD ROAD EAST  NW,,AB,T6K 3N5,7807619253.0,No 
783744,EDMONTON,Wake N' Bake Cannabis,"Aggarwal, Amit, Mgr
",3/22/2022,858 119 STREET SW,,AB,T6W 0J1,7807619253.0,No 
